ID,Economy,Indicator,Year,Type of Reform,Reform Description,
4,Angola,Assets,1989,positive,Angola granted spouses equal rights to immovable property.,
4,Angola,Entrepreneurship,1989,positive,"Angola introduced a new Family Code allowing a woman to sign a legally binding contract, register a business and open a bank account without her husband's consent.",
4,Angola,Marriage,1989,positive,Angola allowed women to be head of household. It also gave women the same rights to remarry as men.,
4,Angola,Mobility,1989,positive,Angola introduced new Family Code allowing a woman to choose where to live in the same way as a man.,
4,Angola,Workplace,1989,positive,Angola allowed a woman to get a job without permission from her husband.,
4,Angola,Pay,2001,positive,Angola mandated equal remuneration for work of equal value.,
4,Angola,Workplace,2001,positive,Angola prohibited gender discrimination in employment.,
4,Angola,Parenthood,2012,positive,Angola began administering maternity benefits through its social security system.,
4,Angola,Entrepreneurship,2013,positive,Angola made access to credit easier for women by prohibiting gender-based discrimination in financial services.,
4,Angola,Marriage,2013,positive,Angola enacted legislation protecting women from domestic violence.,
4,Angola,Parenthood,2017,positive,Angola introduced paid paternity leave.,
4,Angola,Workplace ,2022,positive,Angola enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
5,Antigua and Barbuda,Pension,1974,positive,Antigua and Barbuda introduced an old-age pension system that sets equal ages at which women and men can retire with full pension benefits. It does not establish an age at which women and men can retire with partial pension benefits.,
5,Antigua and Barbuda,Workplace,1977,positive,Antigua and Barbuda prohibited gender discrimination in employment.,
5,Antigua and Barbuda,Marriage,1998,positive,Antigua and Barbuda allowed women to obtain a divorce in the same way as a man.,
5,Antigua and Barbuda,Marriage,2000,positive,Antigua and Barbuda enacted legislation protecting women from domestic violence.,
6,Argentina,Parenthood,1976,positive,Argentina prohibited the dismissal of pregnant workers. It also introduced paid paternity leave.,
6,Argentina,Pension,1976,negative,Argentina set unequal mandatory retirement ages for women and men.,
6,Argentina,Pay,1977,positive,Argentina mandated equal remuneration for work of equal value.,
6,Argentina,Workplace,1977,positive,Argentina prohibited gender discrimination in employment.,
6,Argentina,Entrepreneurship,1989,positive,"Argentina enacted a Civil Code allowing a woman to sign a legally binding contract, register a business and open a bank account without her husband's consent.",
6,Argentina,Marriage,1989,positive,"Argentina legalized divorce, equally granting the right to both spouses. There is no waiting period before remarriage for either spouse.",
6,Argentina,Mobility,1989,positive,Argentina reformed its Civil Code allowing a woman to choose where to live in the same way as a man.,
6,Argentina,Workplace,1989,positive,Argentina allowed a woman to get a job without permission from her husband.,
6,Argentina,Pay,1993,positive,Argentina lifted restrictions on women's ability to work at night.,
6,Argentina,Marriage,1996,positive,Argentina enacted legislation protecting women from domestic violence.,
6,Argentina,Assets,2005,positive,"Argentina amended its civil code, granting spouses equal rights to immovable property and equal administrative authority over assets during marriage.",
6,Argentina,Workplace,2010,positive,Argentina enacted legislation protecting women from sexual harassment in employment.,
6,Argentina,Pension,2019,positive,Argentina equalized the mandatory retirement age (70 years) for women and men.,
6,Argentina,Pension,2022,positive,Argentina explicitly accounted for periods of absence due to child care in pension benefits.,
7,Armenia,Pension,1972,negative,Armenia set unequal mandatory retirement ages for women and men.,
7,Armenia,Parenthood,1973,positive,Armenia prohibited the dismissal of pregnant workers.,
7,Armenia,Parenthood,1974,negative,Armenia no longer prohibits the dismissal of pregnant workers.,
7,Armenia,Parenthood,1974,positive,Armenia increased the duration of paid maternity leave to at least 14 weeks.,
7,Armenia,Workplace,1974,positive,Armenia prohibited gender discrimination in employment.,
7,Armenia,Pension,1997,positive,Armenia no longer establishes an age at which women and men can retire with partial pension benefits.,
7,Armenia,Pension,2004,positive,Armenia explicitly accounted for periods of absence due to child care in pension benefits.,
7,Armenia,Parenthood,2006,positive,Armenia prohibited the dismissal of pregnant workers.,
7,Armenia,Pay,2006,positive,Armenia eliminated all restrictions on women's employment and lifted restrictions on women's ability to work at night.,
7,Armenia,Workplace,2006,positive,Armenia enacted legislation protecting women from sexual harassment in employment.,
7,Armenia,Parenthood,2007,positive,Armenia introduced paid parental leave.,
7,Armenia,Pension,2012,positive,Armenia equalized the ages at which women and men can retire with full pension benefits. It also equalized the mandatory retirement ages for women and men.,
7,Armenia,Workplace,2012,negative,Armenia abrogated legislation protecting women from sexual harassment in employment.,
7,Armenia,Marriage,2019,positive,Armenia enacted legislation protecting women from domestic violence.,
7,Armenia,Parenthood ,2022,positive,Armenia introduced paid paternity leave.,
8,Australia,Assets,1977,positive,Australia recognized the value of nonmonetary contributions.,
8,Australia,Entrepreneurship ,1978,positive,Australia made access to credit easier for women by prohibiting gender-based discrimination in financial services.,
8,Australia,Parenthood,1982,positive,Australia prohibited the dismissal of pregnant workers.,
8,Australia,Mobility,1983,positive,Australia reformed its Domicile Act allowing a woman to choose where to live in the same way as a man.,
8,Australia,Mobility,1984,positive,Australia introduced new legal amendments which no longer requires a married woman her husband's permission when applying for a passport.,
8,Australia,Workplace,1985,positive,Australia prohibited gender discrimination in employment. It also enacted legislation protecting women from sexual harassment in employment.,
8,Australia,Pay,1998,positive,Australia mandated equal remuneration for work of equal value.,
8,Australia,Workplace,1998,positive,Australia enacted civil remedies for sexual harassment in employment.,
8,Australia,Marriage,2010,positive,Australia enacted legislation protecting women from domestic violence.,
8,Australia,Parenthood,2012,positive,Australia increased the duration of paid maternity leave to at least 14 weeks and its federal government began administering parental leave benefits. It also introduced paid parental leave.,
8,Australia,Parenthood,2014,positive,Australia introduced paid paternity leave.,
8,Australia,Pension,2015,positive,Australia equalized the ages at which women and men can retire with full pension benefits.,
9,Austria,Parenthood,1975,positive,Austria increased the duration of paid maternity leave to at least 14 weeks.,
9,Austria,Marriage,1977,positive,Austria allowed women to be head of household. Austria no longer requires a married woman to obey her husband.,
9,Austria,Mobility,1977,positive,Austria reformed its Civil Code allowing a woman to choose where to live in the same way as a man.,
9,Austria,Assets,1980,positive,Austria granted spouses equal rights to immovable property and equal administrative authority over assets during marriage. Austria also recognized the value of nonmonetary contributions.,
9,Austria,Parenthood,1980,positive,Austria prohibited the dismissal of pregnant workers.,
9,Austria,Pay,1980,positive,Austria mandated equal remuneration for work of equal value.,
9,Austria,Workplace,1980,positive,Austria prohibited gender discrimination in employment.,
9,Austria,Marriage,1985,positive,Austria gave women the same rights to remarry as men.,
9,Austria,Parenthood,1992,positive,Austria introduced paid parental leave.,
9,Austria,Pension,1994,negative,Austria set unequal ages at which women and men can retire with partial pension benefits.,
9,Austria,Workplace,1994,positive,Austria enacted legislation protecting women from sexual harassment in employment. It also enacted civil remedies for sexual harassment in employment.,
9,Austria,Marriage,1998,positive,Austria enacted legislation protecting women from domestic violence.,
9,Austria,Pay,2004,positive,Austria lifted restrictions on women's ability to work at night.,
9,Austria,Pension,2006,positive,Austria explicitly accounted for periods of absence due to child care in pension benefits.,
9,Austria,Entrepreneurship,2010,positive,Austria's new legal amendments made access to credit easier for women by prohibiting gender-based discrimination in financial services.,
9,Austria,Pay,2010,positive,Austria eliminated the ban on women's employment in industrial undertakings at night.,
9,Austria,Pension,2015,positive,Austria no longer establishes an age at which women and men can retire with partial pension benefits.,
9,Austria,Parenthood,2021,positive,Austria introduced 30 days of paid paternity leave.,
10,Azerbaijan,Pension,1972,negative,Azerbaijan set unequal mandatory retirement ages for women and men.,
10,Azerbaijan,Parenthood,1973,positive,Azerbaijan increased the duration of paid maternity leave to at least 14 weeks. It also prohibited the dismissal of pregnant workers.,
10,Azerbaijan,Pension,1973,positive,Azerbaijan no longer establishes a mandatory retirement age for women and men.,
10,Azerbaijan,Workplace,1973,positive,Azerbaijan prohibited gender discrimination in employment.,
10,Azerbaijan,Pension,1994,positive,Azerbaijan explicitly accounted for periods of absence due to child care in pension benefits.,
10,Azerbaijan,Parenthood,2001,positive,Azerbaijan introduced paid parental leave.,
10,Azerbaijan,Entrepreneurship,2008,positive,Azerbaijan introduced new legislation that makes access to credit easier for women by prohibiting gender-based discrimination in financial services.,
10,Azerbaijan,Workplace,2008,positive,Azerbaijan enacted legislation protecting women from sexual harassment in employment. It also enacted civil remedies for sexual harassment in employment.,
10,Azerbaijan,Marriage,2012,positive,Azerbaijan enacted legislation protecting women from domestic violence.,
11,"Bahamas, The",Pension,1973,positive,The Bahamas introduced an old-age pension system that sets equal ages at which women and men can retire with full pension benefits. It does not establish an age at which women and men can retire with partial pension benefits.,
11,"Bahamas, The",Assets,1984,positive,The Bahamas amended the Matrimonial Causes Act to recognize the value of nonmonetary contributions.,
11,"Bahamas, The",Pension,1986,positive,The Bahamas explicitly accounted for periods of absence due to child care in pension benefits.,
11,"Bahamas, The",Parenthood,1989,positive,The Bahamas prohibited the dismissal of pregnant workers.,
11,"Bahamas, The",Marriage,1993,positive,"Bahamas, The enacted legislation protecting women from domestic violence.",
11,"Bahamas, The",Workplace,1993,positive,The Bahamas enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
11,"Bahamas, The",Assets,2003,positive,The Bahamas equalized inheritance rights for both sons and daughters and male and female surviving spouses.,
11,"Bahamas, The",Workplace,2003,positive,The Bahamas prohibited gender discrimination in employment.,
12,Bahrain,Parenthood,1978,positive,Bahrain prohibited the dismissal of pregnant workers.,
12,Bahrain,Pension,1978,positive,Bahrain introduced an old-age pension system that sets equal ages at which women and men can retire with partial pension benefits.,
12,Bahrain,Parenthood,1995,positive,Bahrain introduced paid paternity leave.,
12,Bahrain,Mobility,2007,positive,Bahrain amended its Passport Law which no longer requires a married woman her husband's consent when applying for a passport.,
12,Bahrain,Workplace,2014,positive,Bahrain prohibited gender discrimination in employment.,
12,Bahrain,Marriage,2017,positive,Bahrain enacted legislation protecting women from domestic violence.,
12,Bahrain,Marriage,2019,positive,Bahrain began allowing women to be head of household.,
12,Bahrain,Workplace,2020,positive,Bahrain enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
12,Bahrain,Entrepreneurship,2021,positive,Bahrain made access to credit easier for women by prohibiting gender-based discrimination in financial services.,
12,Bahrain,Pay,2021,positive,Bahrain eliminated restrictions on women's employment in arduous jobs. ,
12,Bahrain,Pension,2021,positive,"Bahrain explicitly accounted for periods of absence due to child care in pension
benefits.",
12,Bahrain,Pay,2022,positive,Bahrain mandated equal remuneration for work of equal value. It lifted restrictions on women’s ability to work at night. It also repealed provisions giving the relevant authority the power to prohibit or restrict women from working in certain jobs or industries.,
13,Bangladesh,Mobility,1974,positive,Bangladesh introduced new legislation which no longer requires a married woman her husband's information when applying for a passport.,
13,Bangladesh,Parenthood,2008,positive,Bangladesh increased the duration of paid maternity leave to at least 14 weeks.,
13,Bangladesh,Pay,2008,positive,Bangladesh lifted restrictions on women's ability to work at night.,
13,Bangladesh,Workplace,2010,positive,Bangladesh enacted legislation protecting women from sexual harassment in employment.,
13,Bangladesh,Marriage,2012,positive,Bangladesh enacted legislation protecting women from domestic violence.,
14,Barbados,Parenthood,1978,positive,Barbados prohibited the dismissal of pregnant workers.,
14,Barbados,Mobility,1981,positive,Barbados introduced the Domicile Act allowing a woman to choose where to live in the same way as a man.,
14,Barbados,Assets,1983,positive,Barbados' new Family Law Act explicitly recognized the value of nonmonetary contributions.,
14,Barbados,Marriage,1993,positive,Barbados enacted legislation protecting women from domestic violence.,
14,Barbados,Workplace,2019,positive,Barbados enacted legislation protecting women from sexual harassment in employment. It also enacted civil remedies for sexual harassment in employment.,
14,Barbados,Workplace,2021,positive,Barbados prohibited gender discrimination in employment.,
15,Belarus,Pension,1972,negative,Belarus set unequal mandatory retirement ages for women and men.,
15,Belarus,Parenthood,1973,positive,Belarus prohibited the dismissal of pregnant workers. It also increased the duration of paid maternity leave to at least 14 weeks.,
15,Belarus,Workplace,1974,positive,Belarus prohibited gender discrimination in employment.,
15,Belarus,Pension,1993,positive,Belarus explicitly accounted for periods of absence due to child care in pension benefits.,
15,Belarus,Parenthood,1995,positive,Belarus introduced paid parental leave.,
15,Belarus,Pay,1996,positive,Belarus mandated equal remuneration for work of equal value.,
15,Belarus,Pension,1996,positive,Belarus no longer establishes a mandatory retirement age for women and men.,
15,Belarus,Pay,2001,positive,Belarus lifted restrictions on women's ability to work at night.,
15,Belarus,Marriage,2015,positive,Belarus enacted legislation protecting women from domestic violence.,
16,Belgium,Marriage,1973,positive,"Belgium abolished a waiting period for remarriage, giving women the same rights to remarry as men.",
16,Belgium,Assets,1978,positive,Belgium granted spouses equal rights to immovable property and equal administrative authority over assets during marriage.,
16,Belgium,Entrepreneurship,1978,positive,"Belgium amended its Civil Code allowing a woman to sign a legally binding contract, register a business and open a bank account without her husband's consent.",
16,Belgium,Mobility,1978,positive,Belgium introduced legislation allowing a woman to choose where to live in the same way as a man.,
16,Belgium,Workplace,1978,positive,Belgium allowed a woman to get a job without permission from her husband.,
16,Belgium,Parenthood,1996,positive,Belgium prohibited the dismissal of pregnant workers.,
16,Belgium,Pay,1998,positive,Belgium lifted restrictions on women's ability to work at night.,
16,Belgium,Pension,1998,positive,Belgium equalized the ages at which women and men can retire with partial pension benefits.,
16,Belgium,Parenthood,1999,positive,Belgium introduced paid parental leave.,
16,Belgium,Workplace,2000,positive,Belgium prohibited gender discrimination in employment.,
16,Belgium,Marriage,2004,positive,Belgium enacted legislation protecting women from domestic violence.,
16,Belgium,Workplace,2004,positive,Belgium enacted legislation protecting women from sexual harassment in employment. It adopted criminal penalties for sexual harassment in employment. It also enacted civil remedies for sexual harassment in employment.,
16,Belgium,Entrepreneurship,2008,positive,Belgium introduced new legislation that makes access to credit easier for women by prohibiting gender-based discrimination in financial services.,
16,Belgium,Pay,2010,positive,Belgium mandated equal remuneration for work of equal value,
16,Belgium,Pension,2010,positive,Belgium equalized the ages at which women and men can retire with full pension benefits.,
16,Belgium,Pay,2012,positive,Belgium eliminated restrictions on women's employment in mining. It also allowed women to work in jobs deemed dangerous in the same way as men.,
17,Belize,Parenthood,1981,positive,Belize began administering maternity benefits through its social security system.,
17,Belize,Pension,1982,positive,Belize introduced an old-age pension system that sets equal ages at which women and men can retire with full pension benefits. It does not establish an age at which women and men can retire with partial pension benefits. It explicitly accounted for periods of absence due to child care in pension benefits.,
17,Belize,Marriage,1994,positive,Belize enacted legislation protecting women from domestic violence.,
17,Belize,Workplace,1998,positive,Belize enacted legislation protecting women from sexual harassment in employment. It also enacted civil remedies for sexual harassment in employment.,
17,Belize,Parenthood,2002,positive,Belize increased the duration of paid maternity leave to at least 14 weeks.,
17,Belize,Assets,2003,positive,"Belize reformed its Supreme Court of Judicature Act to recognize the value of nonmonetary contributions, including ""any contribution made in the capacity of housewife, homemaker or parent.""",
17,Belize,Parenthood,2013,positive,Belize prohibited the dismissal of pregnant workers.,
18,Benin,Pension,1974,positive,Benin introduced an old-age pension system that sets equal ages at which women and men can retire with full pension benefits. It does not establish an age at which women and men can retire with partial pension benefits. It explicitly accounted for periods of absence due to child care in pension benefits.,
18,Benin,Parenthood,1975,positive,Benin prohibited the dismissal of pregnant workers.,
18,Benin,Pay,1999,positive,Benin mandated equal remuneration for work of equal value.,
18,Benin,Workplace,1999,positive,Benin prohibited gender discrimination in employment.,
18,Benin,Parenthood,2004,negative,Benin enacted new legislation that obliges employers to pay a portion of maternity benefits along with the social security system.,
18,Benin,Assets,2006,positive,Benin's new Family and Personal Code granted spouses equal rights to immovable property and equal administrative authority over assets during marriage. It also equalized inheritance rights for both sons and daughters and male and female surviving spouses.,
18,Benin,Entrepreneurship,2006,positive,Benin introduced a Family Code allowing a woman to open a bank account in the same way as a man withouh her husband's consent.,
18,Benin,Marriage,2006,positive,Benin allowed women to be head of household.,
18,Benin,Workplace,2006,positive,Benin allowed a woman to get a job without permission from her husband.,
18,Benin,Workplace,2008,positive,Benin enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
18,Benin,Marriage,2013,positive,Benin enacted legislation protecting women from domestic violence.,
18,Benin,Mobility,2021,positive,Benin allowed women to apply for a passport in the same way as men.,
18,Benin,Pay,2022,positive,Benin removed restrictions on women’s employment in construction. Women can now work in industrial jobs in the same way as men.,
19,Bhutan,Entrepreneurship,2002,negative,Bhutan introduced a new companies law that prescribes additional procedures for women when registering a business compared to men.,
19,Bhutan,Parenthood,2008,positive,Bhutan prohibited the dismissal of pregnant workers.,
19,Bhutan,Pay,2008,positive,Bhutan mandated equal remuneration for work of equal value.,
19,Bhutan,Workplace,2008,positive,Bhutan prohibited gender discrimination in employment. It enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
19,Bhutan,Parenthood,2011,positive,Bhutan introduced paid paternity leave.,
19,Bhutan,Marriage,2014,positive,Bhutan enacted legislation protecting women from domestic violence.,
20,Bolivia,Assets,1974,positive,Bolivia granted spouses equal rights to immovable property and equal administrative authority over assets during marriage.,
20,Bolivia,Entrepreneurship,1974,positive,"Bolivia enacted a new Family Code allowing a woman to sign a legally binding contract, register a business and open a bank account without her husband's consent.",
20,Bolivia,Marriage,1974,positive,Bolivia no longer requires a married woman to obey her husband.,
20,Bolivia,Mobility,1974,positive,Bolivia enacted a new Family Code allowing a woman to choose where to live in the same way a man.,
20,Bolivia,Workplace,1974,negative,Bolivia introduced a legal provision that allows a husband to object to his wife's work.,
20,Bolivia,Parenthood,1989,positive,Bolivia prohibited the dismissal of pregnant workers.,
20,Bolivia,Marriage,1997,positive,Bolivia enacted legislation protecting women from domestic violence.,
20,Bolivia,Pension,2009,positive,Bolivia explicitly accounted for periods of absence due to child care in pension benefits.,
20,Bolivia,Pay,2010,positive,Bolivia mandated equal remuneration for work of equal value.,
20,Bolivia,Entrepreneurship,2012,positive,Bolivia introduced new legislation that makes access to credit easier for women by prohibiting gender-based discrimination in financial services.,
20,Bolivia,Parenthood,2014,positive,Bolivia introduced paid paternity leave.,
20,Bolivia,Workplace,2014,positive,Bolivia enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
20,Bolivia,Marriage,2016,positive,"Bolivia abolished a waiting period for remarriage, giving women the same rights to remarry as men.",
20,Bolivia,Pay,2016,positive,Bolivia lifted restrictions on women’s ability to work at night and in jobs deemed dangerous.,
20,Bolivia,Workplace,2016,positive,Bolivia allowed a woman to get a job without permission from her husband.,
21,Bosnia and Herzegovina,Pension,2000,positive,Bosnia and Herzegovina equalized the ages at which women and men can retire with full pension benefits. It equalized the mandatory retirement ages for women and men. It no longer explicitly accounts for periods of absence due to child care in pension benefits.,
21,Bosnia and Herzegovina,Parenthood,2001,positive,Bosnia and Herzegovina introduced paid paternity leave.,
21,Bosnia and Herzegovina,Workplace,2001,positive,Bosnia and Herzegovina prohibited gender discrimination in employment.,
21,Bosnia and Herzegovina,Pay,2004,positive,Bosnia and Herzegovina mandated equal remuneration for work of equal value.,
21,Bosnia and Herzegovina,Workplace,2004,positive,Bosnia and Herzegovina enacted legislation protecting women from sexual harassment in employment. It adopted criminal penalties for sexual harassment in employment. It also enacted civil remedies for sexual harassment in employment.,
21,Bosnia and Herzegovina,Marriage,2006,positive,Bosnia and Herzegovina enacted legislation protecting women from domestic violence.,
21,Bosnia and Herzegovina,Entrepreneurship,2011,positive,Bosnia and Herzegovina's new legal amendments made access to credit easier for women by prohibiting gender-based discrimination in financial services.,
21,Bosnia and Herzegovina,Pension,2017,positive,Bosnia and Herzegovina no longer establishes an age at which women and men can retire with partial pension benefits.,
21,Bosnia and Herzegovina,Pay,2018,positive,Bosnia and Herzegovina allowed women to work in jobs deemed dangerous in the same way as men.,
21,Bosnia and Herzegovina,Pension,2019,negative,Bosnia and Herzegovina adopted a new law that allows women and men to retire with partial benefits at ages 56 and 61 respectively. The ages are set to equalize in 2026.,
22,Botswana,Assets,1972,positive,Botswana equalized inheritance rights for male and female surviving spouses.,
22,Botswana,Pay,1994,positive,Botswana lifted restrictions on women's ability to work at night.,
22,Botswana,Pension,1997,positive,Botswana introduced an old-age pension system that sets equal ages at which women and men can retire with full pension benefits. It does not establish an age at which women and men can retire with partial pension benefits. It explicitly accounted for periods of absence due to child care in pension benefits.,
22,Botswana,Pay,1998,positive,Botswana eliminated the ban on women's employment in mining.,
22,Botswana,Assets,2006,positive,"Botswana granted spouses equal rights to immovable property. It also abolished marital power, granting spouses equal administrative authority over assets during the marriage.",
22,Botswana,Entrepreneurship,2006,positive,"Botswana abolished its marital power provision allowing a woman to sign a legally binding contract, register a business and open a bank account without her husband's consent.",
22,Botswana,Marriage,2006,positive,Botswana allowed women to be head of household.,
22,Botswana,Mobility,2006,positive,Botswana introduced new legislation abolishing the marital power provision to allow a woman to choose where to live in the same way as a man.,
22,Botswana,Workplace,2006,positive,Botswana allowed a woman to get a job without permission from her husband.,
22,Botswana,Marriage,2009,positive,Botswana enacted legislation protecting women from domestic violence.,
23,Brazil,Parenthood,1975,positive,Brazil began administering maternity benefits through its social security system.,
23,Brazil,Pension,1975,negative,Brazil set unequal ages at which women and men can retire with partial pension benefits.,
23,Brazil,Marriage,1979,positive,Brazil legalized divorce. The process is the same for women and men.,
23,Brazil,Parenthood,1990,positive,Brazil increased the duration of paid maternity leave to at least 14 weeks. It also introduced paid paternity leave.,
23,Brazil,Pay,1990,positive,Brazil lifted restrictions on women's ability to work at night.,
23,Brazil,Pay,1991,positive,Brazil allowed women to work in jobs deemed dangerous in the same way as men. It also eliminated the ban on women's employment in mining.,
23,Brazil,Workplace,1991,positive,Brazil allowed a woman to get a job without permission from her husband.,
23,Brazil,Pension,2000,positive,Brazil explicitly accounted for periods of absence due to child care in pension benefits.,
23,Brazil,Workplace,2000,positive,Brazil prohibited gender discrimination in employment.,
23,Brazil,Workplace,2002,positive,Brazil enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
23,Brazil,Assets,2003,positive,Brazil granted spouses equal rights to immovable property and equal administrative authority over assets during marriage.,
23,Brazil,Entrepreneurship,2003,positive,Brazil introduced a new Civil Code allowing a woman to register a business in the same way as a man without her husband's consent.,
23,Brazil,Marriage,2003,positive,Brazil allowed women to be head of household. Brazil gave women the same rights to remarry as men.,
23,Brazil,Mobility,2003,positive,Brazil introduced a new Civil Code allowing a woman to choose where to live in the same way as a man.,
23,Brazil,Marriage,2008,positive,Brazil enacted legislation protecting women from domestic violence.,
23,Brazil,Pension,2021,positive,"Brazil eliminated the possibility to retire with partial pension benefits. Previously, the ages at which men and women could retire with partial pension benefits were unequal. ",
24,Brunei Darussalam,Pension,1985,positive,Brunei Darussalam explicitly accounted for periods of absence due to child care in pension benefits.,
24,Brunei Darussalam,Assets,2001,positive,Brunei Darussalam recognized the value of nonmonetary contributions.,
24,Brunei Darussalam,Marriage,2001,positive,Brunei Darussalam enacted legislation protecting women from domestic violence.,
24,Brunei Darussalam,Pay,2011,positive,Brunei Darussalam eliminated the ban on women's employment in mining and at night in industrial undertakings. It also lifted restrictions on women's ability to work at night.,
25,Bulgaria,Workplace,1988,positive,Bulgaria prohibited gender discrimination in employment.,
25,Bulgaria,Parenthood,2002,positive,Bulgaria introduced paid parental leave.,
25,Bulgaria,Pay,2002,positive,Bulgaria mandated equal remuneration for work of equal value.,
25,Bulgaria,Entrepreneurship,2005,positive,Bulgaria made access to credit easier for women by prohibiting gender-based discrimination in financial services.,
25,Bulgaria,Parenthood,2005,positive,Bulgaria prohibited the dismissal of pregnant workers.,
25,Bulgaria,Workplace,2005,positive,Bulgaria enacted legislation protecting women from sexual harassment in employment. It also enacted civil remedies for sexual harassment in employment.,
25,Bulgaria,Marriage,2006,positive,Bulgaria enacted legislation protecting women from domestic violence.,
25,Bulgaria,Pay,2006,positive,Bulgaria lifted restrictions on women's ability to work at night.,
25,Bulgaria,Parenthood,2010,positive,Bulgaria introduced paid paternity leave.,
25,Bulgaria,Pension,2012,negative,Bulgaria set unequal mandatory retirement ages for women and men.,
25,Bulgaria,Pay,2017,positive,Bulgaria eliminated restrictions on women's employment in certain industries by limiting them to pregnant and nursing women.,
25,Bulgaria,Pension,2017,negative,Bulgaria set unequal ages at which women and men can retire with partial pension benefits.,
26,Burkina Faso,Assets,1991,positive,Burkina Faso granted spouses equal rights to immovable property and equal administrative authority over assets during marriage.,
26,Burkina Faso,Entrepreneurship,1991,positive,Burkina Faso enacted a Family Code allowing a woman to open a bank account in the same way as a man without her husband's consent.,
26,Burkina Faso,Marriage,1991,positive,Burkina Faso allowed women to be head of household.,
26,Burkina Faso,Workplace,1991,positive,Burkina Faso allowed a woman to get a job without permission from her husband.,
26,Burkina Faso,Parenthood,1994,positive,Burkina Faso prohibited the dismissal of pregnant workers.,
26,Burkina Faso,Pay,1994,positive,Burkina Faso lifted restrictions on women's ability to work at night.,
26,Burkina Faso,Workplace,1994,positive,Burkina Faso prohibited gender discrimination in employment.,
26,Burkina Faso,Workplace,2006,positive,Burkina Faso enacted legislation protecting women from sexual harassment in employment. It also adopted criminal penalties for sexual harassment in employment.,
26,Burkina Faso,Entrepreneurship ,2019,positive,Burkina Faso made access to credit easier for women by prohibiting gender-based discrimination in financial services.,
26,Burkina Faso,Marriage,2020,positive,Burkina Faso enacted legislation protecting women from domestic violence.,
