Author,Title,Headline
Simon Kemp,Digital trends       Every stat digital marketers need to know about the internet,    trillion hours spent online a new milestone in internet adoption and new records for social media use  If you expected digital to return to  business as usual  in      you may want to reset those expectations The new Digital      Global Overview Repor 
Catherine Lough, It s aggressive  say university staff about      pay cut for striking,Students describe response to strike action as  shocking  
Deutsche Welle (www.dw.com),Jordan s ambitious push for gender equality,Jordan is pushing for more gender equality It s the official government policy and there has even been an amendment to the constitution But women s activists are hoping for more structural changes as well 
 https://www.forbes.com/sites/forbesfinancecouncil/people/luzurrutia/,Why Lending Transparency Matters For Small Businesses,An uninformed financing choice could be the difference between survival and failure 
https://www.facebook.com/bbcnews,Work sexism  Women not supported to be business leaders,CEO Louise O Shea says culture needs to change to get more women at the top of businesses 
Emma Whitford,Study  Women led colleges hire more women and pay them better,Image    Female senior faculty and top administrators earn more at institutions with female presidents and provosts than at institutions where men are in charge a new analysis from the College and University Professional Association for Human Resources shows 
BuzzFeed,     Update on Diversity Inclusion and Belonging at BuzzFeed Inc ,As part of our continued focus on diversity inclusion and belonging at BuzzFeed Inc I shared this information with our employees View Entire Post  
Shah Meer Baloch in Karachi, She chopped her hair off   Pakistani women s struggle to play cricket,In such a conservative country young women often have to fight their own families first just to play the sport they loveBisma Amjad plays cricket She aspires to play internationally and was picked for Pakistan s under    World Cup squad But when the pandemi 
Caleb Kraft,The Festival Of Urgent Reinventions  How Will You Change The World ,How will you change the world The Festival Of Urgent Reinventions is a free   day event on February  rd  th      to question and reimagine how we can use our skills to build a more accessible equitable future Part conference and part competition FOUR  
Serena Smith,Why Pxssy Palace are charging straight cis men six times more, The tiers help us prioritise these groups as they are who the party is for 
Anonymous,  essential reads about sexual harassment and discrimination in gaming and tech Rappler,The toxic culture in video game company Activision Blizzard is part of the larger problem of sexual harassment in esports games and tech
Beatrice Alba,No Chivalry s Not Dead but It s About Time It Was,It is customary in many Western cultures for men to offer a range of special courtesies to women This includes  The post No Chivalry s Not Dead but It s About Time It Was appeared first on Lifehacker Australia    Related Stories   ul  li We Do We Find It 
tyler.colp@pcgamer.com (Tyler Colp),Lego Star Wars  The Skywalker Saga developers say crunch was a soft spoken blackmail ,Developers at the studio describe working long hours and a multitude of development issues 
Ian Smith,    of tech recruiters believe their hiring process is biased new survey suggests Euronews,    of tech recruiters believe their hiring process is biased new survey suggests  Euronews
Tim Peterson,Media Briefing  How publishers are seeking to stretch their subscriber funnels,In this week s Media Briefing media editor Kayleigh Barber looks at how publishers like The New York Times and The Daily Beast are exploring new ways to extend the lifetime value of their subscribers including those who are not yet subscribers  The post Med 
Amber Raiken,Woman reveals why men shouldn t ask to split the bill on dates   Make his pockets hurt ,       is a scam   one viewer writes in the comments
Aimee Chanthadavong,Canberra hands over AU    m in additional support to STEM initiatives,Winners of the extra funding include the Superstars of STEM program Women in STEM Ambassador initiative and the Future You campaign 
Cynthia Richie Terrell,Weekend Reading on Women s Representation       Winter Olympics Are the Most Gender Balanced Ever Women s Activism Threatens Authoritarian Leaders,Weekend Reading for Women s Representation is a compilation of stories about women s representation  This week  Activism by women and gender minorities threatens authoritarian leaders running for statewide executive office can be especially challenging for  
Cormac Fitzgerald,Ireland s gender pay gap is better than the EU average what else can be done to fix it , I think there s  still  a lot of confusion A lot of people make reference to equal pay and that s been enshrined in legislation since the mid   s  
Yves Smith,Why Young Workers Are Driving a Wave of Unionization,The young are again on the forefront of change now by challenging neoliberal atomization and indoctrination by forming unions 
Brendan Sinclair,TT Games employees report crunch bullying at Lego studio,Current and former staff report        hour work weeks planned crunch mismanagement wasting months of work
Harriet Sherwood Arts and culture correspondent,Unesco warns of crisis in creative sector with   m jobs lost due to pandemic,Artists finding it harder than ever to make a living despite being part of one of the fastest growing industriesTen million jobs in creative industries worldwide were lost in      as a result of the Covid pandemic and the increasing digitisation of cultural  
Steven Perlberg,How a crop of media startups are trying to fill the news gap for underrepresented audiences,The nonprofit news startup Capital B is launching Monday with a focus on local and national Black communities 
jeremiah_owyang,Study  Digital Health Wellness in the Age of Quarantine,Summary  Fresh data from      Americans on their adoption of tech wellness and tech health consumer products trust in tech vs health institutions as well as surprising data on longevity data In      a report by the Global Wellness Institute found that the 
 https://www.forbes.com/sites/shelleyzalis/people/shelleyzalis/,How Miss America Is Rewriting The Rules Of Competition,When a storied brand like Miss America reimagined the status quo eyebrows furrowed and hands raised asking why Because it s time It s no longer a pageant it s a scholarship competition with emphasis placed on sharing a more accurate portrayal of women an 
Marie Dealessandri,Blizzard reiterates commitment to cultural change,Company creates several new roles including new HR and DEI leaders triples compliance and investigation team
Anonymous,AIG Life Retirement Study Shows Americans Setting Renewed Focus on Financial Security and Planning,NEW YORK  BUSINESS WIRE  AIG Life Retirement today announced the results from a new study Americans Moving Forward which shows individuals are thinking more critically about how future events could impact their finances Over half of survey respondents  
Anonymous,Forestry Commission gender pay gap report  Report for the year          ,This report outlines the Forestry Commission s gender pay gap and bonus pay gap figures 
 https://www.forbes.com/sites/biancabarratt/,This Woman Writes Killer Resumes For Mothers Returning To Work Here s What She Wants You To Know ,When Lo Constantinou tried to return to work after having her first child her male employers told her  this is why we hire men   Now she runs a company that helps other mothers return to the workforce by writing them killer CVs and cover letters 
Anonymous,Charity Commission gender pay gap report     ,Report of the Charity Commission s gender pay gap data as of    March      
Anonymous,Cabinet Office gender pay gap report     ,This shows Cabinet Office pay gap figures for      
Competition and Markets Authority,Gender pay gap report      to     ,Data on the difference in employees  average earnings from   April      to    March      
Anonymous,Women directors make up just     of board in NSE     companies  The Glass Ceiling report,HDFC and Syngene International Ltd were the top performers with each having four women on their boards Asian Paints Bharti Airtel and Cipla were among those ranked second with three women directors  
Eric Smalley,Microsoft Purchase of Activision Blizzard Won t Solve All of Gamer Culture s Problems,Discrimination and sexual harassment in gamer culture involve the industry as a whole not just Activision Blizzard  The post Microsoft Purchase of Activision Blizzard Won t Solve All of Gamer Culture s Problems appeared first on Gizmodo Australia     Relate 
Admin,UK Banks Face Surge in Equal Pay Claims After Landmark Ruling Against BNP Paribas,Stacey Macken fought more than eight years for equal pay Her victory over BNP Paribas SA this week at a London court may encourage a wave of other women to come forward In an unprecedented order for a UK investment  
Jeff Bollier,Plymouth resident developed a computer science career training program for other northeastern Wisconsin residents , Northeastern Wisconsin is our showroom   How a tech training program started here is helping close the diversity gap
Lambert Strether,The American Hyper Focus on Individualism Makes Us Poorer Sicker and Sadder,Our wealth health and happiness problems are not individual personal troubles that can be resolved by exhorting people to think or act differently 
Anonymous,Six Global Trends in Business and Society INSEAD Knowledge,A stark look at the risks business education must address in      
insider@insider.com (Melanie Lockert),Understanding the gender pay gap and how it hurts women s earnings and ability to build wealth,The gender pay gap affects all women but is more severe for women of color While the gap is becoming narrower it persists 
Pamela Duncan Data journalist,UK gender pay gap  women paid   p for    earned by men,Sector with the largest gender median pay gap was construction where female employees received just   p for every    earned by a manWomen in the UK were paid just   p for every    earned by a man according to the latest figures released through the governme 
Emily Rella,From Meta to McDonald s Here s How Major Companies are Working to Close the Gender Pay Gap,March    is this year s Equal Pay Day 
Anonymous,Japan considering mandatory disclosure of gender wage female manager ratio sources Reuters com,Japan is considering requiring companies annual reports to disclose average wages by gender and the ratio of female managers said two people with direct knowledge of the matter as it seeks to close the pay gap between men and women 
Amanda Breen,It s Equal Pay Day and This Twitter Bot Is Calling Out Companies That Pay Men More Than Women,Twitter users and retweeted organizations alike had a lot to say about the bot s revelations  or at least those who didn t delete the tweets putting them on blast did  
Vanessa Romo,On Equal Pay Day women are trying to make a dollar out of    cents,It took women working year round full time jobs    extra days to earn what men did in      And the data is worse for women of color who are disproportionately employed in low wage jobs 
sjones@insider.com (Stephen Jones),The term competitive salary in job ads can be offputting to job seekers Recruiters should be more open about how much they pay ,Employers need to be more open about pay according to a survey     of respondents said they were less likely to apply if the salary wasn t listed 
insider@insider.com (Melanie Lockert),  reasons women face roadblocks to retirement and need to save more,Women deal with unique financial challenges when it comes to saving for retirement Find out about the investment gap and why women need to save more 
Anonymous,South Korea president elect s pledge to shutter gender ministry stirs debate Reuters com,South Korean president elect Yoon Suk yeol s decision to use the country s gender wars as a campaign platform for his successful election earlier this month may have backfired 
Charles Passy,   Women were hard hit and women of color were hit even harder   How the pandemic impacted the gender wage gap,Equal Pay Day comes earlier this year but some experts say the situation for women has actually worsened two years into COVID    
insider@insider.com (Choncé Maddox),The motherhood penalty affects everything from a woman s wages to hiring and promotions after having a child,The motherhood penalty is a term used to describe the disadvantages women face in their careers after having children 
Halima Begum,After the Sewell report the race action plan seems a step in the right direction   Halima Begum,Call me an optimist but we may even read parts of this document as a discreet repudiation of what went before Though there remains much more to be doneThis week two years after Black Lives Matter protests prompted by the death of George Floyd and the prim 
Anonymous,Gender Pay Gap New COVID Guidelines  Podcast ,Bloomberg Technology is the only daily news program focused exclusively on technology innovation and the future of business 
Anonymous,Mind the Gender Pay Gap  Audio ,Overnight on Wall Street is morning in Europe Monitor your investments    hours a day around the clock from around the globe Hosted by Caroline Hepker and Roger Hearing 
Anonymous,A look at PayGapApp a viral Twitter bot created by Francesca Lawson and Ali Fensome which highlights the gender pay gap data of British companies  Amanda Holpuch New York Times ,Amanda Holpuch   New York Times  A look at PayGapApp a viral Twitter bot created by Francesca Lawson and Ali Fensome which highlights the gender pay gap data of British companies     Britain requires companies with     or more employees to report gender pa 
insider@insider.com (Melanie Lockert),Understanding what the glass ceiling is and how it affects women in the workplace,The glass ceiling is a metaphorical term to describe the hurdles women and minorities face in moving upward in the workforce 
insider@insider.com (Aly J. Yale),Women are underrepresented in investing   here are   ways we can close the gap and work toward equality,Women are underrepresented in investing and the trickle down effects are huge Here s what we can do about it 
Amanda Holpuch,Twitter Bot Highlights Gender Pay Gap One Company at a Time,Britain requires companies with     or more employees to report gender pay gap data On International Women s Day one couple used it to raise awareness about lingering discrepancies 
Brad Anderson,How To Ensure You Cultivate an Inclusive Workplace,You may feel like your company offers an inclusive workplace where employees feel valued But would your employees agree Not necessarily According to a recent McKinsey Company survey around     of people say they re included by their employer On closer  
Simon Kennedy,The Supply Chain Pressure Cooker Is Heating Up Again,Hello Today we look at how supply chains are weakening again a rare gender pay gap in New York and a new version of the misery index 
CBS News,A dart like device may help police prevent dangerous car chases,Police are using a unique tracking device that propels a dart like cartridge from the front of a squad car onto the rear of a suspected stolen vehicle 
Sonia Sodha,Covid has shown flexible working is a benefit only for the privileged few   Sonia Sodha,A pilot of four day weeks is unlikely to bear fruit for low paid staff with little power to negotiate termsIt feels strange now to recall that two years ago we had just entered a three month stretch of government enforced hermithood as the battle with Covid w 
insider@insider.com (Amanda Smith),For lesbians major life events don t just happen   so if I ever want to retire I have to start planning now,Women earn less and live longer than men so lesbians are at a disadvantage in retirement planning But that doesn t make it impossible 
Adam,Twitter Bot Trolls Organizations For Hypocrisy On International Women s Day,Equal Pay   gender pay gap getty A bot on Twitter has caused havoc in the reputation of hundreds of British institutions by raising hypocrisy around gender pay gaps Yesterday companies took to Twitter in read more The post Twitter Bot Trolls Organizations 
LEXISNEXIS,Closing The Gender Pay Gap  Sponsored ,The first bill signed into law by President Barack Obama was the Lilly Ledbetter Fair Pay Act of       which amended Title VII of the Civil Rights Act and 
Diana Kwon,The rise of citational justice  how scholars are making references fairer,An emerging movement aims to push researchers to pay more heed to inequities in scholarly citations 
 https://www.forbes.com/sites/kimelsesser/,Women Are Suffering From An  Exhaustion Gap  According To New Study,On this Equal Pay Day women will not only be dealing with a    cent gender pay gap but also an exhaustion gap According to a new study women feel burned out less driven and less inspired since the pandemic 
Georgina McKay,Australia s Largest Bank to Allow Workers to Discuss Pay  AFR,Australia s largest bank removed secrecy clauses on salaries in its contracts just days after a similar move by its rival 
Anne Branigin,Equal Pay Day       What to know The Washington Post, ol  li Equal Pay Day       What to know  The Washington Post    li  li Women in low paying jobs are losing billions as U S gender pay gap persists Labor Department says  CNBC    li  li Equal Pay Day reveals women in Arizona make    cents for every dollar a 
WAVY.com,AP Top Business News at      a m EDT WAVY com,Biden moving to narrow gender pay gap for federal workers
Van Badham,Today s  woman  is supposed to people please yet also be an empowered  girlboss    why   Van Badham,The patriarchy has realised liberal feminism s potential to make women too stressed to revolt against the vampiric masculinities in their livesMarried mothers who earn more than their husbands take on an even greater share of the housework a study from the U 
Thomas B. Edsall,The Wrong Side of the Gender Gap,Who are the men who align with the Democratic Party and the women who identify as Republicans 
info@hypebeast.com (HYPEBEAST),Playback  Leading Women in Music Discuss Breaking Gender Barriers in the Industry for HYPETALKS,HYPEBEAST and HYPEBAE closed out Women s History Month      with a panel discussion entitled  The Struggles and Triumphs of Women in Music   which heard leading industry figures Nina Lee Hannah Lux Davis Rubi Rose TRAKGIRL and Lily Mercer share their own s 
 https://www.forbes.com/sites/markkantrowitz/,Women Achieve Gains In STEM Fields,More women are majoring in science engineering and mathematics but still face a pay gap after graduation despite earning the same degrees as men 
Jacob Passy,Personal Finance Daily  The best time to list your home for sale is just around the corner and how the shift to working from home is affecting property values,Tuesday s top personal finance stories 
Kelly Hyman,From Ada Lovelace to Oprah Winfrey    Traits Women Warriors Have in Common,Those who step into their innate power and allow strengths motivation and sheer will to propel them to greatness share a few key characteristics 
Jessie Mae,Reshma Saujani WHM   WomensHistoryMonth WomenInSTEM,Reshma Saujani founded Girls Who Code as well as the Marshall Plan for Moms She was featured in Inc s list of     Female founders Reshma Saujani the founder of Girls Who Code has long worked to close the gender gap in technology But after seeing the exhau 
Brian Frederick,New PPC Salary Report Details How Much PPC Pros Earn via sejournal na,A worldwide survey of paid search professionals provides a clear picture of what they re earning across various sectors and locations  The post New PPC Salary Report Details How Much PPC Pros Earn appeared first on Search Engine Journal 
 https://www.forbes.com/sites/jenamcgregor/,Mississippi Finally Passed An Equal Pay Bill But Some Advocates Say It Could Harm Equality,A newly passed bill in Mississippi calls for equal pay for equal work but also specifically lists applicants  salary history among other factors as a defense employers might use to justify a pay gap 
Kimeko McCoy, Paid family leave is exacerbating the gender pay gap   Nearly     companies pledge transparency around paid parental leave as talent war looms,As the so called  Great Resignation  looms nearly     companies join theSkimm in pledging transparency around paid parental leave  The post  Paid family leave is exacerbating the gender pay gap   Nearly     companies pledge transparency around paid parental  
Tobi Thomas,Women who ask for pay rise less successful than men UK poll reveals,Disparity is most evident among women in their   s and older and for those in working class occupationsOne in five women who ask for a pay rise are successful in receiving one compared with just under a third of men polling has found A YouGov survey of more 
 https://www.forbes.com/sites/hollycorbett/,What Equal Pay Day      Data Is And Is Not Telling Us,This Equal Pay Day the data shows the wage gap closed by   cent On the surface this looks like progress Yet these numbers are not telling the whole story 
Adam,the impact of equal opportunity for athletes fans and sponsors   Nielsen,The U S Women s National Soccer Team is known for winning on the field and now they ve won in their fight for fair pay following a long court battle with the U S Soccer Federation But the read more The post the impact of equal opportunity for athletes  
 https://www.forbes.com/sites/joanmichelson2/, Costs Of Being A Woman    Why Women Have     Of What Men Do,What if you had to pay more for the exact same cup coffee than the person next to you and had less in retirement That s what happens to women because they earn much less than men and paying more for life s basics women then have only     of what men do  
Via AP news wire,Biden moving to narrow gender pay gap for federal workers,The White House is marking Equal Pay Day by taking new steps aimed at ending the gender pay gap for federal workers and contractors
Decerry Donato,Athletes Execs Talk Challenges Facing Women in Sports and Tech dot LA, p L A  s own women s soccer team Angel City FC hosted an event discussing the gender pay gap and other issues   p 
Barry Ritholtz,   Friday AM Reads,My end of week morning train WFH reads  extra salary employment edition     Yield Curve Almost Flashes Recession Maybe but Who Knows When Whisper it quietly but maybe the yield curve isn t quite as useful as many think as a recession alert  Wall Street Jou 
Anonymous,Biden moving to narrow gender pay gap for federal workers,Equal Pay Day is designed to call attention to how much longer women must work to earn what men earned in the previous year 
CBS News,Allyson Felix wants gender pay gap to change  completely ,U S statistics show women make    cents for every dollar men make Legendary Olympian Allyson Felix wants that to change  completely  
 https://www.forbes.com/sites/jenamcgregor/,How NYC s Pay Transparency Law Could Have A National Impact On The Pay Gap And Your Job Search,A new law in New York City will make it illegal for most employers to exclude pay ranges from their advertised jobs or promotion opportunities beginning in May The new mandate could have ripple effects even for workers who don t reside in states or cities th 
The Hill,Female dominated careers pay less as gender gap persists,Jobs like childcare workers domestic workers and home health aides are mostly held by women and they all pay below average wages Women dominated jobs like 
Kerry Hannon,Pay transparency can shrink the gender pay gap but hurt bonuses,The gender pay gap was slashed by up to     in transparent organizations compared with those that didn t disclose pay according to a new study 
 https://www.forbes.com/sites/tomspiggle/,The EEOC Sues The University Of Miami For Gender Based Pay Discrimination,University of Miami professor alleges in an ongoing unequal pay suit against her school 
